product_id,product_name,category,subcategory,brand,unit_cost,list_price,product_status
20001,FitPro Product 20001,Sports,Fitness,StyleHub,832.64,1162.0,Active
20002,PureCare Product 20002,Fashion,Men,UrbanNest,1208.44,2647.74,Discontinued
20003,UrbanNest Product 20003,Sports,Outdoor,SmartBuy,240.02,321.77,Active
20004,SmartBuy Product 20004,Electronics,Computing,StyleHub,36083.73,47600.72,Active
20005,PureCare Product 20005,Beauty,Skincare,SmartBuy,3033.1,4318.77,Discontinued
20006,StyleHub Product 20006,Fashion,Men,FitPro,4477.62,6745.27,Discontinued
20007,SmartBuy Product 20007,Electronics,Mobile Accessories,UrbanNest,10440.42,23122.25,Active
20008,UrbanNest Product 20008,Sports,Fitness,SmartBuy,4597.57,8434.11,Active
20009,HomeEase Product 20009,Fashion,Men,PureCare,1806.76,2894.27,Active
20010,NovaTech Product 20010,Home & Kitchen,Kitchen,ReadMore,1927.47,3693.3,Active
20011,UrbanNest Product 20011,Books,Non-Fiction,FitPro,1022.52,2190.11,Active
20012,PureCare Product 20012,Sports,Outdoor,SmartBuy,6169.62,9266.3,Discontinued
20013,StyleHub Product 20013,Electronics,Audio,UrbanNest,22127.14,45766.19,Active
20014,StyleHub Product 20014,Books,Non-Fiction,StyleHub,845.69,1324.48,Active
20015,StyleHub Product 20015,Beauty,Haircare,UrbanNest,2720.03,3585.55,Active
20016,NovaTech Product 20016,Home & Kitchen,Appliances,PureCare,2092.0,3626.67,Active
20017,SmartBuy Product 20017,Sports,Fitness,FitPro,3928.1,7513.28,Active
20018,StyleHub Product 20018,Sports,Sportswear,NovaTech,5660.54,11869.43,Active
20019,NovaTech Product 20019,Sports,Outdoor,StyleHub,2354.16,3603.66,Active
20020,ReadMore Product 20020,Electronics,Mobile Accessories,HomeEase,23891.2,31526.79,Active
20021,UrbanNest Product 20021,Books,Education,StyleHub,241.72,366.24,Active
20022,NovaTech Product 20022,Electronics,Mobile Accessories,ReadMore,16476.14,31714.89,Active
20023,FitPro Product 20023,Books,Non-Fiction,UrbanNest,1751.99,2484.8,Discontinued
20024,NovaTech Product 20024,Books,Fiction,UrbanNest,114.06,188.71,Discontinued
20025,ReadMore Product 20025,Home & Kitchen,Home Decor,PureCare,3179.15,4769.9,Active
20026,NovaTech Product 20026,Sports,Outdoor,NovaTech,852.67,1123.6,Active
20027,PureCare Product 20027,Beauty,Haircare,StyleHub,1953.58,2908.6,Active
20028,ReadMore Product 20028,Beauty,Personal Care,NovaTech,233.53,346.04,Active
20029,ReadMore Product 20029,Beauty,Haircare,UrbanNest,857.36,1185.91,Active
20030,FitPro Product 20030, Books ,Non-Fiction,ReadMore,253.98,395.65,Active
20031,ReadMore Product 20031,Electronics,Computing,UrbanNest,27846.35,36786.18,Active
20032,StyleHub Product 20032,Fashion,Men,UrbanNest,899.37,1476.74,Active
20033,PureCare Product 20033,Home & Kitchen,Appliances,PureCare,4526.28,7742.35,Active
20034,ReadMore Product 20034,Electronics,Computing,UrbanNest,25629.114,24408.68,Active
20035,NovaTech Product 20035,Electronics,Audio,ReadMore,27035.61,40867.79,Active
20036,UrbanNest Product 20036,Home & Kitchen,Kitchen,HomeEase,5794.37,12771.78,Active
20037,SmartBuy Product 20037,Fashion,Men,PureCare,1783.64,3214.79,Active
20038,HomeEase Product 20038,Electronics,Audio,FitPro,20430.16,35495.6,Active
20039,FitPro Product 20039,Sports,Outdoor,StyleHub,2659.84,3834.27,Discontinued
20040,ReadMore Product 20040,Fashion,Women,StyleHub,4476.38,9744.69,Active
20041,ReadMore Product 20041, Home & Kitchen ,Appliances,UrbanNest,12800.1,18123.45,Active
20042,NovaTech Product 20042,Books,Non-Fiction,NovaTech,661.64,870.47,Active
20043,UrbanNest Product 20043,Electronics,Audio,ReadMore,20017.55,33421.32,Active
20044,HomeEase Product 20044,Beauty,Skincare,StyleHub,1600.74,2559.5,Active
20045,StyleHub Product 20045,Fashion,Women,FitPro,3705.42,5869.12,Active
20046,StyleHub Product 20046,Electronics,Computing,PureCare,13350.57,23473.9,Active
20047,ReadMore Product 20047,Sports,Outdoor,PureCare,5787.54,8750.3,Active
20048,NovaTech Product 20048,Fashion,Women,PureCare,4406.71,7067.99,Discontinued
20049,SmartBuy Product 20049,Home & Kitchen,Kitchen,PureCare,1231.04,1890.74,Discontinued
20050,UrbanNest Product 20050,Home & Kitchen,Appliances,NovaTech,6241.61,11250.66,Active
20051,HomeEase Product 20051,Fashion,Footwear,StyleHub,1168.81,2334.52,Discontinued
20052,SmartBuy Product 20052,Electronics,Mobile Accessories,HomeEase,14713.66,20357.79,Active
20053,NovaTech Product 20053,Electronics,Audio,UrbanNest,26786.13,47065.4,Discontinued
20054,HomeEase Product 20054,Sports,Sportswear,NovaTech,2507.81,-4178.36,Active
20055,NovaTech Product 20055,Home & Kitchen,Kitchen,UrbanNest,10339.49,14989.77,Active
20056,NovaTech Product 20056,Beauty,Personal Care,NovaTech,2655.7,3696.67,Active
20057,PureCare Product 20057,Books,Education,UrbanNest,498.42,705.48,Active
20058,NovaTech Product 20058,Home & Kitchen,Appliances,HomeEase,266.84,471.62,Discontinued
20059,HomeEase Product 20059,Beauty,Skincare,UrbanNest,1025.5,2144.38,Active
20060,FitPro Product 20060,Sports,Fitness,UrbanNest,2175.0,3456.42,Active
20061,SmartBuy Product 20061,Home & Kitchen,Appliances,HomeEase,4056.03,5869.46,Active
20062,HomeEase Product 20062,Beauty,Personal Care,HomeEase,3781.27,5923.48,Active
20063,UrbanNest Product 20063,Books,Education,FitPro,415.38,833.46,Active
20064,StyleHub Product 20064,Home & Kitchen,Appliances,StyleHub,606.81,1211.43,Active
20065,HomeEase Product 20065,Electronics,Computing,HomeEase,15053.62,25260.31,Active
20066,UrbanNest Product 20066,Books,Education,ReadMore,1113.0,1876.45,Discontinued
20067,SmartBuy Product 20067,Fashion,Footwear,ReadMore,4479.39,7897.42,Discontinued
20068,HomeEase Product 20068,Home & Kitchen,Kitchen,ReadMore,7112.93,10253.49,Discontinued
20069,NovaTech Product 20069,Sports,Fitness,StyleHub,7833.79,10682.81,Active
20070,PureCare Product 20070,Sports,Fitness,PureCare,1390.02,2304.1,Discontinued
20071,NovaTech Product 20071,Beauty,Personal Care,StyleHub,734.48,964.71,Active
20072,UrbanNest Product 20072,Home & Kitchen,Home Decor,NovaTech,1808.46,2323.02,Active
20073,SmartBuy Product 20073,Fashion,Men,PureCare,342.29,515.56,Discontinued
20074,ReadMore Product 20074,Books,Education,PureCare,1135.31,1924.62,Discontinued
20075,FitPro Product 20075,Fashion,Footwear,SmartBuy,3768.4,5314.27,Discontinued
20076,HomeEase Product 20076,Fashion,Women,SmartBuy,4077.92,8554.19,Active
20077,FitPro Product 20077,Beauty,Haircare,FitPro,1888.95,3437.34,Active
20078,UrbanNest Product 20078,Home & Kitchen,Home Decor,NovaTech,550.98,755.96,Discontinued
20079,SmartBuy Product 20079,Books,Non-Fiction,HomeEase,423.18,721.99,Discontinued
20080,SmartBuy Product 20080,books,Fiction,SmartBuy,169.91,222.26,Active
20081,PureCare Product 20081,Fashion,Footwear,NovaTech,6169.03,8009.2,Active
20082,ReadMore Product 20082,Fashion,Men,FitPro,2826.61,4066.51,Active
20083,UrbanNest Product 20083,home & kitchen,Appliances,FitPro,9663.89,13155.89,Active
20084,PureCare Product 20084,Home & Kitchen,Home Decor,PureCare,1712.72,3526.51,Discontinued
20085,SmartBuy Product 20085,Electronics,Audio,HomeEase,18899.31,30439.73,Active
20086,FitPro Product 20086,Electronics,Mobile Accessories,SmartBuy,5484.78,7336.28,Active
20087,UrbanNest Product 20087,Electronics,Audio,ReadMore,10351.97,17153.33,Active
20088,ReadMore Product 20088,Electronics,Audio,ReadMore,28095.31,41288.04,Discontinued
20089,NovaTech Product 20089,Books,Non-Fiction,NovaTech,524.28,1100.68,Active
20090,UrbanNest Product 20090,Books,Education,StyleHub,724.77,948.83,Discontinued
20091,FitPro Product 20091,Fashion,Men,NovaTech,2139.5,3859.37,Active
20092,ReadMore Product 20092,Electronics,Mobile Accessories,FitPro,31356.6,46124.53,Discontinued
20093,StyleHub Product 20093,Fashion,Women,ReadMore,816.16,1138.04,Active
20094,PureCare Product 20094,Sports,Sportswear,ReadMore,1830.27,3566.23,Active
20095,HomeEase Product 20095,Sports,Outdoor,UrbanNest,4216.86,7634.53,Active
20096,ReadMore Product 20096,Fashion,Women,UrbanNest,2983.13,5866.08,Discontinued
20097,HomeEase Product 20097,Home & Kitchen,Kitchen,ReadMore,4687.52,8251.51,Discontinued
20098,FitPro Product 20098,Beauty,Haircare,FitPro,2921.82,3952.29,Active
20099,PureCare Product 20099,Home & Kitchen,Appliances,FitPro,8676.67,19220.35,Active
20100,SmartBuy Product 20100,Books,Non-Fiction,UrbanNest,1041.94,2131.57,Active
20101,StyleHub Product 20101,Home & Kitchen,Home Decor,ReadMore,4419.82,6105.33,Active
20102,FitPro Product 20102,Beauty,Personal Care,FitPro,2460.33,4072.24,Active
20103,PureCare Product 20103,Beauty,Personal Care,NovaTech,2668.9,5588.62,Discontinued
20104,HomeEase Product 20104,Beauty,Haircare,SmartBuy,1410.41,2108.45,Active
20105,NovaTech Product 20105,Electronics,Computing,SmartBuy,4107.4,6075.86,Active
20106,PureCare Product 20106,Books,Non-Fiction,PureCare,918.1,1345.55,Active
20107,SmartBuy Product 20107,Books,Non-Fiction,PureCare,289.29,606.86,Active
20108,StyleHub Product 20108,Fashion,Women,UrbanNest,2111.93,3363.85,Active
20109,ReadMore Product 20109,Beauty,Haircare,UrbanNest,1299.55,1937.54,Active
20110,SmartBuy Product 20110,Sports,Sportswear,SmartBuy,1778.22,3572.36,Discontinued
20111,UrbanNest Product 20111,Home & Kitchen,Home Decor,StyleHub,1985.44,3749.75,Discontinued
20112,HomeEase Product 20112,Books,Fiction,HomeEase,913.73,1844.55,Active
20113,StyleHub Product 20113,Books,Education,StyleHub,941.68,1421.01,Active
20114,HomeEase Product 20114,Beauty,Personal Care,PureCare,1934.98,4028.85,Active
20115,NovaTech Product 20115,Home & Kitchen,Kitchen,HomeEase,1951.47,3885.15,Active
20116,HomeEase Product 20116,Books,Fiction,UrbanNest,445.02,663.59,Discontinued
20117,StyleHub Product 20117,Home & Kitchen,Kitchen,StyleHub,10204.74,13468.41,Active
20118,StyleHub Product 20118,Books,Non-Fiction,SmartBuy,152.81,213.42,Active
20119,ReadMore Product 20119,Books,Non-Fiction,FitPro,1369.46,1843.82,Active
20120,FitPro Product 20120,Sports,Fitness,ReadMore,5198.96,9539.62,Discontinued
20121,ReadMore Product 20121,Fashion,Women,StyleHub,5815.56,7603.97,Discontinued
20122,FitPro Product 20122,Electronics,Audio,NovaTech,2380.23,4966.59,Active
20123,NovaTech Product 20123,Fashion,Women,FitPro,650.31,1341.6,Active
