return_id,order_id,product_id,customer_id,return_date,return_quantity,refund_amount,return_reason,return_status
9000001,5026409,20641,111683.0,2025-01-12,2,13663.68,Quality Issue,Approved
9000002,5500684,20484,126742.0,2024-04-07,1,1427.33,Not as Expected,Approved
9000003,5295016,21045,108917.0,2024-09-15,4,39288.86,Changed Mind,Approved
9000004,5534819,21483,130605.0,2026-05-12,2,3431.07,Changed Mind,Approved
9000005,5382438,21229,139364.0,2026-05-13,1,427.74,Wrong Item,Approved
9000006,5362980,20711,126201.0,2024-03-29,2,32517.25,Quality Issue,Approved
9000007,5480559,21443,114175.0,2025-05-07,2,57211.27,Wrong Item,Approved
9000008,5027212,21240,107310.0,2025-03-26,1,1635.03,Not as Expected,Approved
9000009,5006091,20734,113878.0,2025-07-24,1,802.01,Changed Mind,Pending
9000010,5433412,21276,101350.0,2026-06-20,1,2939.63,Quality Issue,Approved
9000011,5333892,21055,110874.0,2024-12-16,1,4308.55,Damaged,Approved
9000012,5324583,21357,119836.0,2025-04-17,1,6908.18,Quality Issue,Approved
9000013,5050175,21128,120252.0,2024-03-24,2,39249.92,Wrong Item,Approved
9000014,5535343,20904,110325.0,2025-01-01,3,1607.93,Quality Issue,Approved
9000015,5028154,20816,139485.0,2025-09-29,1,31695.67,Quality Issue,Approved
9000016,5115194,20521,137547.0,2025-12-13,1,4899.28,Quality Issue,Approved
9000017,5227740,21974,101689.0,2026-04-09,3,12866.18,Wrong Item,Approved
9000018,5234176,20335,145067.0,2025-06-20,1,6580.83,Damaged,Approved
9000019,5111991,20289,129653.0,2026-05-27,1,7342.46,Quality Issue,Approved
9000020,5181506,21454,105982.0,2025-12-20,1,18418.63,Wrong Item,Approved
9000021,5251360,21835,130015.0,2025-09-06,1,6834.48,Not as Expected,Approved
9000022,5154776,21091,144549.0,2025-01-12,1,1902.86,Changed Mind,Approved
9000023,5488220,21506,117708.0,2025-11-05,1,703.43,Not as Expected,Approved
9000024,5300758,21521,131374.0,2025-03-02,1,6051.11,Wrong Item,Approved
9000025,5454220,21073,106337.0,2025-07-02,4,21197.16,Not as Expected,Approved
9000026,5045669,21706,103651.0,2025-05-12,1,7973.59,Quality Issue,Approved
9000027,5266512,21457,109142.0,2025-07-23,3,19836.95,Damaged,Approved
9000028,5172734,20019,126814.0,2025-09-15,1,3603.66,Changed Mind,Approved
9000029,5101717,20474,103544.0,2026-06-15,1,7705.05,Changed Mind,Approved
9000030,5042175,21838,137356.0,2025-10-05,1,21959.95,Not as Expected,Approved
9000031,5186759,21212,122480.0,2024-09-10,1,3763.59,Damaged,Approved
9000032,5219984,21408,116550.0,2024-08-08,1,4548.3,Quality Issue,Approved
9000033,5502340,20537,114952.0,2025-07-18,2,9362.7,Wrong Item,Approved
9000034,5258183,21379,135841.0,2024-06-25,1,5837.36,Damaged,Approved
9000035,5342711,21937,136701.0,2024-05-30,1,6806.41,Not as Expected,Approved
9000036,5347571,21259,112061.0,2024-08-15,4,19048.2,Wrong Item,Approved
9000037,5173599,21516,129718.0,2024-07-11,2,5790.75,Damaged,Approved
9000038,5335179,20278,115416.0,2026-05-10,2,3533.22,Wrong Item,Approved
9000039,5029957,21644,131086.0,2026-07-08,1,11863.11,Wrong Item,Approved
9000040,5391043,21114,115645.0,2026-02-28,2,653.44,Wrong Item,Approved
9000041,5429773,20067,118541.0,2026-07-17,2,12635.87,Not as Expected,Approved
9000042,5035223,20037,138023.0,2025-01-02,1,3054.05,Not as Expected,Approved
9000043,5428198,21185,122565.0,2024-12-17,3,80008.02,Quality Issue,Approved
9000044,5067919,20677,121149.0,2025-12-14,1,7264.95,Quality Issue,Approved
9000045,5025694,21551,141915.0,2025-08-13,1,426.32,Damaged,Approved
9000046,5019985,20842,135911.0,2024-07-09,1,1760.26,Damaged,Approved
9000047,5143656,20126,120676.0,2024-12-16,1,2378.93,Wrong Item,Approved
9000048,5113543,21607,115587.0,2024-02-19,2,66422.46,Changed Mind,Approved
9000049,5217933,21035,144112.0,2025-10-13,1,26583.58,Not as Expected,Approved
9000050,5241357,20384,125181.0,2025-12-08,1,10011.2,Changed Mind,Approved
9000051,5138491,21873,107534.0,2025-02-17,4,23140.63,Quality Issue,Approved
9000052,5084396,20091,144934.0,2025-09-23,2,6560.93,Quality Issue,Approved
9000053,5268292,21488,137689.0,2025-05-05,1,-9983399.77,Quality Issue,Approved
9000054,5129724,21338,131250.0,2024-12-31,1,9973.5,Not as Expected,Pending
9000055,5085467,20288,111573.0,2024-12-26,1,1606.39,Quality Issue,Approved
9000056,5286946,21257,128784.0,2024-05-15,1,640.02,Changed Mind,Approved
9000057,5238057,20285,115174.0,2025-08-09,2,8542.37,Damaged,Approved
9000058,5494457,20053,117724.0,2025-05-19,1,37652.32,Not as Expected,Approved
9000059,5301327,21603,127385.0,2025-02-13,1,377.4,Not as Expected,Approved
9000060,5243787,21223,113023.0,2024-10-22,2,56735.35,Damaged,Approved
9000061,5113156,20414,111250.0,2025-07-12,1,23495.94,Quality Issue,Approved
9000062,5012203,21997,115830.0,2025-10-27,1,5947.07,Changed Mind,Approved
9000063,5243505,20269,106381.0,2024-11-15,1,1260.38,Damaged,Approved
9000064,5304756,21693,103157.0,2025-05-17,1,9451.08,Not as Expected,Approved
9000065,5336036,21416,108069.0,2026-05-27,1,14698.91,Changed Mind,Approved
9000066,5294390,21077,133883.0,2026-05-21,1,17686.82,Wrong Item,Approved
